NA,NA,NA,NA,D129,0,7,7,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,6,7,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,5,7,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,4,7,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,2,-8,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,1,-8,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,-1,-8,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,-2,-8,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,-3,-8,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,-4,-8,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,-5,-8,-1,-1,-1,-1,-1,-1,-1,-1
NA,NA,NA,NA,D129,0,-6,-8,-1,-1,-1,-1,-1,-1,-1,-1
